,alien
00010,torse
0001010101,crept
000101010101102,rebut
00100,royst
0010000120,sissy
00000,short
0000001000,humph
20010,trads
2001000200,humph
200100020000000,awake
02000,bufos
0200021001,blush
11000,stroy
1100000010,vodka
110000001002001,focal
10010,scart
1001000200,heady
100100020001220,evade
11001,natal
1100122022,naval
0001000212,serve
1001000201,heath
10000,crost
1000001000,dumpy
100000100020000,dwarf
01020,revet
0102000020,model
100000100000100,karma
00201,grots
0020100011,stink
1001000210,gyved
100100021020011,grade
00220,draft
0022000002,quiet
00011,cerne
0001112010,bench
2001010200,abate
00212,dwarf
0021200001,feign
1000001100,myrrh
100000110020100,major
100100020102222,death
0001000121,dutch
000100012100002,fresh
0000010012,crust
01000,dully
0100000100,prowl
010000010000202,stool
01002,colon
2001000201,abase
100000100000102,marry
1001001212,react
1000000001,bluff
100000000120000,batty
00210,crypt
0021002010,model
002100201000110,pride
0200000112,floss
01110,terfe
0111002000,helix
1000022200,croak
1000000011,pithy
100000001100100,staff
10020,compt
1002000010,marry
100200001002100,paper
00021,roust
0002100100,unfed
01010,sully
0101000020,whelp
1100001100,trawl
0000000101,outdo
2001000110,adobe
1000022000,karma
100002200001100,crazy
00020,roust
0002012010,sower
1001000110,rabid
100100011021000,repay
0010000002,dwarf
001000000220000,digit
1001001211,crate
0200001000,cluck
0021000010,spike
0010000000,civic
001000000002022,mimic
00001,crust
0000100200,nymph
000010020010010,pound
10100,darts
1010002000,focal
101000200000010,maxim
01122,linen
0002100102,unmet
02010,smock
0201010000,flesh
0000000200,wedge
000000020000000,booby
0000001111,forth
0010010022,first
10001,daynt
1000111021,stand
0101000222,belly
0010011100,ivory
0001000011,seedy
0020102010,print
10012,scrub
1001200100,yearn
10102,baths
1010201000,drain
0021002000,bride
002100200022202,bribe
0000020202,spicy
000002020220000,stout
11021,panel
1000022020,crass
0201001000,flume
110000001001001,offal
20020,rebut
2002011000,agree
0001001201,error
01200,thurl
0120000022,swirl
2001002100,argue
02020,updos
0202000100,bleed
11010,reast
1101002101,filmy
110100210100200,delta
02200,comfy
0220010010,flick
0002002001,totem
0002012000,whack
000201200020000,wooer
0000102002,front
0000022010,shrub
100000100000012,parry
00110,sprit
0011000010,biome
11020,grypt
1102000010,lapel
1000001012,start
0002010002,greet
0002112000,goner
010200002012021,golem
0100002102,karma
010000210200000,lusty
0100000102,rebut
010000010200000,loopy
0000101200,round
20100,dutch
2010012100,audit
01201,lying
1000000000,pudgy
100000000000010,gamma
1100000120,labor
01120,iller
