,raise
20001,could
2000100100,rebut
00120,stomp
0012020000,sissy
00000,could
0000000100,nymph
000000010000222,humph
01002,black
0100200201,awake
00020,slobs
0002012010,blush
01000,cloam
0100011120,lofty
010001112012100,focal
0100200200,egret
010020020020000,evade
02000,cyton
0200000001,banal
020000000102122,naval
10012,potch
1001200000,serve
01001,tepal
0100112010,heath
11000,tronc
1100001000,award
110000100002221,dwarf
00001,denet
0000110020,model
12000,compt
1200000100,karma
00210,plant
0021000021,stink
11002,bract
1100202200,dumpy
110020220010000,grade
00201,chynd
0020100000,quiet
0000102200,humph
000010220000002,bench
0100210200,abate
0020100010,feign
1200001100,yearn
120000110000110,major
010011201002222,death
10021,chops
1002101001,fresh
10020,count
1002020202,crust
00010,poynt
0001001001,stool
0000022010,colon
01022,butch
0102210000,abase
120000010002210,marry
21001,hylas
2100100010,react
0200001200,thumb
020000120010001,batty
10202,dempt
1020211010,pride
0002012202,floss
00101,lined
0010111010,helix
1100002201,croak
01010,clapt
0101000201,stand
010100020122200,staff
12001,empty
1200110200,paper
0000110120,unfed
0000101000,whelp
1100022000,trawl
0000001101,outdo
0100210100,adobe
1100002001,gawky
110000200101002,crazy
10011,wheep
1001110020,sower
2100101020,repay
00100,linty
0010002010,humph
001000201000000,digit
1100202211,crate
0000020210,karma
000002021010000,cluck
00212,plant
0021210000,spike
0010002000,vivid
001000200002020,mimic
0000002202,bumph
000000220201010,pound
02100,clapt
0210000100,mania
021000010022020,maxim
0010122220,linen
0000100122,unmet
00021,clogs
0002102001,flesh
0000002000,boozy
000000200022202,booby
10000,cloot
1000000101,unify
100000010100010,forth
10120,first
0000102000,colby
000010200000212,belly
10100,grout
1010001200,ivory
00011,spelt
0001120200,seedy
10200,tronk
1020012020,print
11001,bleat
1100100110,yearn
11100,gland
1110000211,drain
1020201000,bribe
0001001002,dutch
000100100201100,stout
02001,notch
0200110000,panel
11020,pitch
1102000010,crass
00002,nould
0000200210,stomp
000020021000020,flume
0100001120,tonal
010000112001022,offal
1100201100,azure
110020110020012,agree
10001,coted
1000101010,error
10210,shirk
1021020220,swirl
1100202100,argue
