,roate
20011,music
2001101000,rebut
00000,slimy
0000020102,sissy
0000000010,humph
00202,slump
0020200000,ahind
002020000020000,awake
0000012000,bluff
000001200022200,blush
02100,liman
0210010020,focal
002020000010001,evade
00100,lysin
0010010001,banal
001001000102122,naval
10002,piums
1000200001,serve
00221,heath
10200,dicks
1020020000,drawl
102002000021210,dwarf
02001,wynds
0200100010,model
10100,carrs
1010002200,parka
101000220002212,karma
00010,shunt
0001020021,stink
10202,crags
1020202210,vapid
102020221001001,grade
00011,sleet
0001100022,quiet
00001,silen
0000100011,bench
00222,steel
0022201100,abate
0000101012,feign
11100,macon
1110022020,major
0022102222,death
10001,feued
1000121000,fresh
10010,scuft
1001011202,crust
01010,punch
0101000000,idiot
010100000000021,stool
02000,bludy
0200001000,colon
0020210000,chase
002021000000222,abase
1010002220,humph
101000222000100,marry
20211,react
00120,spiny
0012000002,focal
001200000200010,batty
1000221000,crazy
100022100002000,pride
01000,snool
0100010201,floss
0000101210,helix
1110001110,croak
00210,slink
0021020000,shaft
002102000020221,staff
10101,balms
1010102000,gawcy
101010200002000,paper
0000100021,unfed
0000100110,lowly
000010011000120,whelp
10210,crims
1021002000,draft
102100200002201,trawl
0101002000,outdo
01102,bawdy
0110211010,adobe
1020000100,marry
102000010001102,crazy
12001,mawks
1200100201,sower
20101,calmy
2010101002,repay
0001000002,digit
10222,feign
1022201000,crate
0000002000,flunk
000000200002202,cluck
00002,sling
0000220200,spike
0000000110,mimic
0200000210,hawms
020000021000000,pound
0010000020,agape
001000002010000,maxim
0000102122,linen
000110002201022,unmet
0000110110,flesh
0200020002,booby
12020,unify
1202000010,forth
1001010012,first
0021020020,stand
0000100210,belly
11000,grind
1100001100,ivory
0000120010,seedy
1001000002,print
10201,nymph
1020111000,yearn
1020021000,drain
1000201000,adobe
100020100000022,bribe
0101001000,stout
00101,genal
0010101212,panel
1020000102,crass
0000202000,flume
01100,linos
0110010010,offal
10102,aglus
1010222000,agree
11001,erned
1100122000,error
10000,sculk
1000020010,swirl
1010221020,argue
0000100120,becap
000010012021000,bleed
00121,delta
0000002200,flick
02011,mulch
0201110000,totem
1200100100,wooer
11010,snout
1101001202,front
1000020100,shrub
101000222000010,parry
01002,slick
0100200100,biome
0010101012,epoch
001010101211000,lapel
1021001001,start
10011,ernes
1001112020,greet
1200100000,chevy
120010000000100,goner
0200100000,golem
00020,hinds
0002000001,model
000200000100001,lusty
0200001002,welch
020000100200100,loopy
22000,duchy
2200011000,round
00110,clint
0011000102,audit
0000001201,lying
0010000000,gamma
1110002020,lapse
111000202022000,labor
0001111022,islet
0000000100,cupid
000000010020020,civic
12002,gnash
1200210000,forge
12000,cundy
1200020102,corny
02010,cumin
0201001100,moult
0010000220,basic
0010010100,salad
002220110020222,agate
0000020202,bench
000002020200020,spicy
1010001201,spray
0010101020,ahead
001010102000120,essay
1100001002,blush
110000100200000,fjord
0000120011,spend
0010102020,kebab
0000001200,bodhi
000000120000101,guild
00200,slick
0020000022,blush
002000002210000,aback
12010,worst
1201002101,motor
0110201000,alone
0011010001,humph
001101000120002,hatch
1000100020,nimps
100010002000010,hyper
0001002201,thumb
1200000012,dowry
0101002001,ought
000010021022200,belch
0001001101,adobe
000100110101000,dutch
0101020000,pilot
0001100221,tweed
0201110010,comet
0011000022,tough
001100002210200,evade
00110000221020000100,jaunt
0010101110,ashen
001010111010011,enema
0001120221,steed
0010001100,spicy
001000110010001,abyss
1100022000,blush
110002200001000,growl
000000220022200,fling
0200100110,dozen
020002000222202,boozy
11002,phons
1100200200,vodka
110020020001100,erode
1200000010,world
02002,gusli
0200221000,gouge
000000220002222,click
1010001110,briar
10111,tweel
1011110200,great
10110,alway
1011022020,altar
0000001002,badly
000000100200012,pulpy
1001000202,blurt
02210,bench
0221000010,coast
0000000002,phang
000000000201000,duchy
1100022110,groin
1000120020,blink
100012002000100,fixer
110002200000100,group
22002,rogue
0010011000,balmy
001001100022102,badly
1021001011,smart
0001001001,hyped
000100100111100,pithy
0010001000,cadgy
001000100002112,gaudy
000000120000011,chill
1100111100,heron
0210000010,vodka
100012002000110,finer
1000100120,super
100010012022022,surer
21100,razor
2110022010,radio
2200222112,rouge
1000102000,pluck
100010200020020,perch
2001100001,retch
11022,wrote
0100000201,bluff
010000020102000,clock
00012,cuish
0001200100,tilde
11012,trove
1101211202,store
1100220200,prove
1000000000,bring
0200200110,solve
00111,splat
0011100022,cheat
1000201020,grime
0001101102,exult
100010012011022,usher
01001,demon
0100101010,epoch
1011000020,triad
1010121000,break
21000,rhino
1010001200,viral
0200000000,chasm
020000000020000,conic
00102,mauls
0010222001,masse
020000000010010,sonic
0011001101,vital
10212,trace
0000010200,using
00201,child
0020111000,peach
0020000010,champ
01110,bloat
0111020111,baton
1020202200,vodka
102020220000021,brake
00000020000220202222,pluck
1020222200,naval
102022220001000,craze
1000211000,gripe
1020101000,weary
0000000102,panda
000000010220000,picky
00122,butch
0012201110,acute
1000122000,ferry
0010201001,aside
1011010000,tapir
1101000201,troll
0000000202,unify
20001,plier
2000100011,rebus
0201000000,hotly
020100000002100,boost
1001010201,truss
0000220101,siege
