,soare
00011,lited
0001100110,crept
000110011001102,rebut
20000,thilk
2000000100,sissy
00000,clint
0000000000,dumpy
000000000002220,humph
00202,glebe
0020200002,chunk
002020000200001,awake
10000,mythi
1000000010,bluff
100000001022200,blush
02100,liman
0210010020,focal
0020200102,weave
002020010201212,evade
00100,linty
0010010100,naval
20012,spree
2001220212,serve
00201,letch
0020102102,heath
00220,dhuti
0022020000,dwarf
02001,meynt
0200121000,model
00110,riyal
0011010010,karma
2000010202,stink
00212,gitch
0021220000,vapid
002122000001001,grade
00001,denet
0000100022,quiet
0000102200,bench
0020200012,abate
0000102100,feign
01110,maron
0111022120,major
002010210202222,death
10011,richt
1001110010,fresh
10010,cruft
1001022202,crust
21000,cloot
2100001221,stool
02000,culty
0200020200,colon
10202,belch
1020211000,abase
00120,march
0012022200,marry
00211,death
0021102210,react
0010000022,topic
001000002210000,batty
00012,putid
0001220011,pride
11000,gloom
1100002200,floss
0000102000,belch
000010200002201,helix
0111001110,croak
20200,thilk
2020010000,unfed
202001000000100,staff
00111,ratal
0011112000,pygmy
001111200020000,paper
0000110120,unfed
0000101000,whelp
00210,clint
0021001001,trawl
01000,clint
0100000001,outdo
01102,bundt
0110210010,adobe
0021020000,karma
002102000001100,crazy
22011,sower
0011120020,bench
001112002002000,repay
0000000102,dwarf
000000010220000,digit
0021200110,crate
0000022000,cluck
20002,clint
2000200200,spike
0000010100,mimic
0200001000,bumph
020000100001010,pound
0010001000,agape
001000100010000,maxim
0000100220,linen
0000100122,unmet
10001,culet
1000100110,flesh
0200000002,goody
020000000202202,booby
02010,cyton
0201000110,forth
1001001012,first
202001000001002,stand
000010200022200,belly
01020,pithy
0102001002,ivory
20001,spilt
2000120000,seven
200012000022000,seedy
00010,glint
0001000222,print
00221,lathy
0022101001,yearn
0021000110,grade
002100011002210,drain
0001200010,bring
000120001022200,bribe
2100000202,nymph
210000020200000,stout
00101,natal
0010112002,panel
10210,bachs
1021001102,crass
00002,guilt
0000201010,flume
01100,cloot
0110001100,offal
00112,carol
0011201200,agree
01011,trued
0101102010,error
20020,light
2002011000,swirl
0011201100,argue
0000111020,bleed
0010101101,delta
0000012200,flick
0200111001,totem
02011,rewth
0201111100,wooer
01010,puton
0101000111,front
20010,butch
2001011001,shrub
0012002200,parry
01002,cling
0100200100,biome
0010102002,bumph
001010200200010,lapel
20220,thick
2022010000,start
0001100120,beret
000110012001122,greet
0201111000,flick
020111100000000,naval
02011110000000010000,goner
0200111000,golem
1000001100,model
100000110000001,lusty
0200000102,blown
020000010201200,loopy
0201000011,round
0010001010,adobe
001000101021000,audit
0000001220,lying
0010000000,gamma
0111002120,valor
011100212002122,labor
1000100222,islet
0000020100,civic
02012,fungi
0201220020,forge
0201021011,corny
0200001110,moult
10100,linty
1010001000,basic
20100,dault
2010012010,salad
0020210002,agate
2000000200,suing
200000020020200,spicy
20110,putty
2011010002,spray
10101,tweed
1010100100,essay
0102000000,fjord
2000122000,spend
0010100020,kebab
0000001200,guild
00200,clink
0020010002,rebut
002001000200100,aback
0201000220,motor
0110200100,alone
0010000010,humph
001000001020002,hatch
0001100020,pence
000110002011000,hyper
0000000001,thumb
02020,could
0202002001,dowry
0100000002,ought
0000010001,adobe
000001000101000,dutch
0100001102,pilot
0000111021,tweed
0200111002,comet
0010000110,tough
001000011010200,evade
00100001101020000100,jaunt
0010111000,enema
2000120001,steed
1010000001,abyss
0101000010,crowd
010100001002220,growl
0000002220,blink
000000222002220,fling
0200101010,woven
020010101002022,dozen
02000000020220222202,boozy
01012,pownd
0101201001,erode
0201000010,rough
020100001012000,world
02002,guild
0200221000,gouge
0000022200,karma
000002220010000,click
0011011020,briar
0011110120,great
0011010021,altar
0000001000,badly
000000100000012,pulpy
00020,fitch
0002000100,blurt
12200,bench
1220000010,coast
0000010000,duchy
0101000012,bifid
010100001200020,groin
0001102020,panax
000110202000001,fixer
0101011010,group
0201201010,rogue
0010010002,balmy
001001000222102,badly
202201000020222,smart
0000000101,ditty
000000010102202,pithy
0010000002,cadge
001000000202110,gaudy
0000021200,model
000002120000002,chill
0101101010,heron
0210000010,vodka
000110202000200,finer
20011,newie
2001101000,surer
0111002110,radio
0201201020,rouge
0001100010,chump
000110001011001,perch
0001100210,retch
0101201100,wrote
0100022000,clock
0000200111,tilde
21022,chant
2102200001,store
0101221000,prove
0001010220,bring
22002,solve
0010100120,cheat
000120001002201,grime
0000101002,eight
000010100220002,exult
100111001001111,usher
01001,pelon
0100111010,epoch
001101102002220,triad
0011110020,brick
001111002022002,break
0101000011,feign
010100001100201,rhino
0011012022,viral
0200020000,drain
020002000000021,conic
10102,thump
1010200010,masse
22000,lusty
2200000100,sonic
0010012010,vital
0021200120,trace
1000000001,using
0020102022,peach
0020020000,champ
0110000021,baton
0021200000,vodka
002120000000021,brake
0000012000,pluck
0021200010,naval
002120001001000,craze
0001210010,gripe
0022101002,weary
000001010002001,picky
00102,gault
0010201201,acute
00021,delft
0002102010,ferry
1010200000,aside
0011011010,tapir
0101000110,blush
010100011001000,troll
0000000210,unify
1001120000,rebus
12000,thumb
1200010001,boost
1001002201,truss
2000200100,siege
0001102120,tiger
0010010200,banal
2000000010,slump
0021020020,crank
0201200020,gorge
0002101000,query
0001000220,drink
011100212012022,favor
0010101000,media
001010100001001,abbey
0010000212,tangy
0010001200,panic
22110,solar
20022,shire
0101020010,proxy
0200000010,point
0201000120,robot
0001000200,crimp
000100020012201,prick
0000200100,wince
0100001010,knoll
2011002000,sugar
002001000200000,whack
0200001010,mount
000110001000001,perky
0200021100,could
0001010020,wrung
0000001102,light
11002,hatch
1100210100,those
1200010010,moist
2022002000,shard
0010100121,belch
001010012101100,pleat
0110002202,feign
011000220210000,aloft
2000000221,skill
0001110021,elder
002120000000001,frame
0101002020,furor
010100202002022,humor
1010200201,pause
0001110020,pluck
000111002002110,ulcer
0012001100,ultra
0201000012,robin
0000020110,cynic
0111011110,aroma
0010010000,album
001001000011010,caulk
20202,thilk
2020202001,shake
0200210001,dodge
2000000220,swill
001000101010000,tacit
0101111020,other
0102000110,thorn
0101201000,begat
010120100001001,trove
0100202000,bloke
0000000100,fudgy
000000010000100,vivid
200000022020222,spill
0020020020,chant
0100220000,choke
0001212000,rupee
1010000122,nasty
0202002200,mourn
0010101020,ahead
000120001022220,brine
0100022001,cloth
02220,hoard
2000120002,sweet
0200000020,motto
020000002022020,month
1010200001,lapse
001000001000002,blown
00100000100000200010,watch
0210000020,today
1200000100,focus
2000120022,smelt
1020202000,tease
0011112200,epoch
001111220010010,cater
0200200100,movie
20102,saute
0110002020,allow
000110002002200,renew
0001101110,merit
000110111001121,their
2100002200,slosh
0001222000,purge
1000120012,chest
0100112020,depot
010011101022200,epoxy
0000000010,nymph
020000100001000,found
2020002020,shall
21002,knelt
2100200101,stove
020000010201110,lowly
210000020210000,snout
0101211000,trope
000110002002000,fewer
2020002010,shawl
0010010110,natal
0210000210,comma
02110,balmy
0211001002,foray
20222,chant
2022210200,scare
20210,stair
0020012002,black
2010011200,squad
0211001101,royal
0000020020,chunk
000020010002222,mince
2020202000,dumpy
202020200000100,shame
0000101020,cheek
0010201020,ample
0021002100,flair
020111100020000,foyer
0111002210,cargo
0100200200,oxide
0020002020,bland
002000202002220,plant
0100202200,olive
0002101002,inert
1010101020,askew
1000100012,heist
2100000200,shown
1000100011,zesty
1021001011,trash
0011010011,larva
020100001012020,forgo
21020,chant
2102000001,karma
210200000100100,story
0012002101,hairy
0021000111,train
0201111001,homer
0010212000,badge
1000020101,midst
0010000202,chang
001000020220120,canny
2000200220,humph
200020022010000,shine
0100102010,gecko
0011212200,farce
200000001022200,slung
1000001101,tipsy
0010100222,humph
001010022200100,metal
0000111000,edify
000011100011101,yield
0000200010,delve
000010210002211,being
21010,scour
10200,gulch
1020020100,glass
001111200000110,gamer
2011010000,scrap
0200121110,money
0000210100,hinge
0200011000,vouch
1010110020,asset
0022000011,tiara
0110000020,wagon
011000002002020,bayou
0110001201,atoll
0111022121,manor
001111002002012,creak
210000020022220,showy
1020201001,phase
010100011000002,froth
0000122001,depth
0100002000,bloom
010000200002222,gloom
010000200002220,flood
0021000102,trait
0001020101,girth
0000101001,piety
12002,pilum
1200200000,goose
011000220220000,float
0201000021,donor
0110200101,atone
010102001022100,primo
0111001222,apron
0100002010,blown
0110020100,cacao
12011,loser
0000000112,input
011000220200010,gloat
001001000021020,awful
000100022002222,brink
2000200201,humph
200020020100100,smite
0020102000,beady
1001001101,rusty
01021,retro
010100001002201,droll
001000000202010,gawky
000001000100000,hutch
0100000111,pinto
000110012001222,egret
0010022000,lilac
2001102000,sever
000011100011110,field
0000002000,bluff
000000200002222,fluff
002021000222202,agape
0200200200,voice
20101,knelt
2010100201,stead
000110011001101,berth
001000000002110,madam
000000011211002,night
0001122020,liver
0000210000,wedge
0201001010,roomy
001000000212000,wacky
0100012000,flock
001200110000021,angry
0001200110,batty
000120011000120,trite
001000100020010,aphid
1001002002,tryst
000021010002022,midge
0201111200,champ
020111120000001,power
010020200002202,elope
000002011020210,cinch
2100000201,stomp
1000101022,upset
002102000001120,cramp
0022000110,quart
0200020102,coyly
0200001021,youth
0001200000,nerve
000120000000102,rhyme
000000000002002,buggy
0010111001,alien
20111,whelp
2011100200,smear
000000011212012,unfit
001000002210100,patty
0000022220,cling
0010110021,glean
001010200210000,label
000000001011001,hunky
0020000101,khaki
020111100000001,poker
000111002001200,gruel
0000200201,twice
0020000020,twang
2001001001,shrug
001111012002222,treat
1010210000,bench
101021000001000,waste
0000112100,needy
0100022010,clown
010100001100101,irony
0001100021,unfed
000110002110021,ruder
0010222200,gauze
0000100020,libel
000010002001020,chief
11001,onset
0001220010,crazy
000122001002020,prize
0000000110,dumpy
000000011002000,fungi
0022002000,charm
000000100000022,gully
0001101220,inter
0100000000,jumbo
010000000000001,whoop
001000011020200,taunt
0002102100,leery
1020000110,class
0000200001,theme
0200000122,lofty
0010002010,tibia
0200200000,booze
001001000022000,alpha
000020000122022,thyme
020000101002202,doubt
00111120002000022022,parer
0000201001,chute
200001020222202,stick
000120011000100,trice
0010201010,alike
001112002002010,recap
2010002002,saint
0102000002,glory
0021220100,grate
001000101022000,admit
1001002000,brisk
2200000102,soggy
10020,usurp
2020000020,spicy
202000002020010,scald
2102010010,scorn
0020201102,leave
000020020122202,twine
2000010200,sting
020000100021002,bough
10110,marsh
2100002201,sloth
001000020200110,dandy
0101000020,bloke
010100002000100,vigor
020000000202022,howdy
0100101021,enjoy
0010011000,cavil
001001100002121,valid
0200010000,ionic
0010100022,medic
001010002201000,equal
010100002002200,floor
00100000100000200000,catch
2020200000,spade
2000120101,stein
100010001201222,exist
0002001000,quirk
0000122200,denim
010120100001100,grove
2000122210,spiel
000000000002202,mummy
0010010010,fault
020000000212002,foggy
0100002002,flout
0012002210,carry
2010112200,sneak
0010010020,waltz
0010010012,aptly
000010022002220,piney
0000101102,inept
0110002200,aloud
010000000110102,photo
001111002002000,dream
2020210020,stale
0000201201,unite
2022000000,snarl
001111200000000,waver
00111120000000002022,baker
00022,there
000000200002000,glyph
020001000002001,pooch
000000010000002,hippy
2000122020,spell
0200000202,dough
020000020202000,folly
1200200110,louse
0000011000,gulch
001001001002222,vault
020000010201100,godly
000110012000221,threw
0000101022,fleet
002122000011000,grave
002020000200020,inane
2100010200,shock
002120001001100,crave
200020020100010,spite
0010202010,valve
2000000201,skimp
0020022100,claim
0011021110,rainy
1000021100,musty
0000201100,pique
001000000202200,daddy
1020002000,quasi
10112,arise
0010001100,aging
0010102101,valet
0100000200,opium
00121,delta
0012101011,avert
2000010002,stuck
000110011011102,recut
000001100002222,mulch
0002200122,genre
000020101002222,plume
000120001001100,rifle
0200021010,count
0001000110,incur
021001002002022,total
