,crate
01011,meter
0101102101,rebut
00000,lions
0000002001,humph
000000200100000,sissy
0000000000,dumpy
000000000002220,humph
00202,glisk
0020200001,awake
0000010001,spunk
000001000110200,blush
10100,limbo
1010010001,focal
0020200000,weave
002020000001212,evade
00100,sonly
0010000110,naval
01002,sprog
0100220200,serve
00221,heath
01200,dhols
0120020000,dwarf
00001,silen
0000100120,bedew
000010012000220,model
01100,lordy
0110000200,karma
00010,hoist
0001000211,feign
000100021100201,stink
02202,kedge
0220200112,grade
00011,sleet
0001100022,quiet
10001,bleed
1000120100,bench
00222,glops
0022200000,abate
0000101012,feign
0110001100,raven
011000110012000,major
0022102222,death
02001,defer
0200101101,fresh
22010,crust
0001001011,loopy
000100101111200,stool
20000,ulmin
2000001002,colon
0020200020,abase
0110000202,harpy
011000020202202,marry
11211,react
00120,spiny
0012000002,thumb
001200000210001,batty
02002,ponds
0200220020,pride
0000010202,floss
0000101210,helix
22100,croak
00210,slink
0021020000,shaft
002102000020221,staff
01101,palms
0110122000,marry
011012200002100,paper
0000100021,thumb
000010002100100,unfed
0000100110,whelp
02210,fling
0221001000,trawl
0001001001,outdo
00102,mails
0010201000,adobe
22200,amyls
2220010100,crazy
01001,soily
0100122000,sower
0110111000,repay
0001000102,limit
000100010202022,digit
2000012000,cluck
00002,sling
0000220200,spike
10000,pulis
1000000020,mimic
0000000120,wimpy
000000012000010,pound
0010000000,maxim
0000102122,linen
000110002201022,unmet
0000110110,flesh
0000000200,gowds
000000020002000,booby
01020,filmy
0102020000,forth
01010,shout
0101010002,first
0021020020,stand
0000100210,belly
01000,duros
0100000110,rhino
010000011010101,ivory
0000120010,seedy
02010,tonus
0201010100,print
01201,badly
0120101001,yearn
02200,dings
0220021100,drain
0200200000,bribe
0001001012,stink
000100101222000,stout
00101,kneel
0010101022,panel
2220010002,crass
0000202000,dumpy
000020200001100,flume
0010001010,allow
001000101011010,offal
01102,align
0110220010,agree
0200101002,error
0100000101,shirk
010000010120220,swirl
02102,arise
0210222002,argue
000010012021120,bleed
00121,delta
1000000110,flick
0001100021,totem
0100102000,rhomb
010010200010200,wooer
0201011100,front
0100001201,shrub
011000020202212,parry
0000200100,movie
000020010011012,biome
0010100022,bough
001010002200000,lapel
01210,skimp
0121020000,start
02011,truer
0201112020,greet
010010200010100,poker
01001020001010002022,goner
0000100220,golem
00020,noisy
0002000012,model
000200001200001,lusty
0000020200,loopy
0100011110,round
00110,tauon
0011011100,audit
0000021020,lying
001000000012001,gamma
0110021100,labor
0001111022,islet
2000000020,civic
0100200211,forge
21000,ivory
2100000112,corny
0001002002,moult
1010001010,basic
0010020010,salad
0022210000,agate
1000010011,spicy
011000020201212,spray
0010100100,essay
0100010110,fjord
0000120011,spend
0010120100,kebab
0000011000,guild
10200,plush
1020000000,aback
0101000101,motor
0010201010,alone
10110,haply
1011022000,hatch
0100100001,hyper
0001010001,thumb
0100020110,dowry
0001011002,ought
1000121100,belch
10010,pouch
1001000122,adobe
100100012201000,dutch
0001001102,pilot
0001100221,tweed
20011,model
2001112020,comet
0011012201,dough
001101220100200,jaunt
0010102200,enema
0001120221,steed
0010010001,abyss
02000,gipon
0200020010,growl
0000011020,blink
000001102002220,fling
0000100022,dumky
000010002220000,dozen
00000002000200022202,boozy
0200201020,erode
0100010210,world
0000200001,bough
000020000102220,gouge
2000002010,click
02100,baron
0210021100,briar
02111,great
01110,satyr
0111001202,altar
0000010000,badly
000001000000012,pulpy
0101000012,blurt
20210,coast
1000002000,humph
100000200012000,duchy
0200021012,groin
0100100100,vined
010010010002020,proxy
01001001000202001010,fixer
0200020110,group
0100200111,rogue
0010000022,midge
001000002200200,badly
0121020010,smart
0001010101,pithy
0010000002,pudgy
001000000201112,gaudy
2000001010,model
200000101000002,chill
0100101000,dwarf
010010100000010,heron
0010002000,vodka
010010010002220,finer
0100120000,wheep
010012000000020,surer
0110001110,radio
010020011122112,rouge
11001,dicey
1100100110,perch
11011,retch
02022,write
0202222022,wrote
2000002000,clock
00012,shily
0001200110,tilde
01012,store
0200221000,prove
0200011001,bring
0000221000,solve
20111,cheat
020020000002202,grime
0001101102,exult
0100110000,usher
1000100100,epoch
02110,triad
02101,bread
0210122220,break
0110010200,mural
011001020000222,viral
2000000021,conic
0010222001,masse
1000000021,sonic
0011011000,vital
12212,trace
0000001021,humph
000000102101000,using
10201,blush
1020100002,peach
20200,khans
2020002200,champ
0011012022,baton
0220210002,brake
1000021100,pluck
22202,naval
2220201000,craze
0200210000,gripe
0120101002,weary
1000020010,picky
10122,acute
0100100002,beard
010010000202020,ferry
0010201201,aside
0111002102,tapir
0201021000,troll
0000001010,unzip
000000101022010,unify
010011000011011,rebus
0001002022,boost
0201020012,truss
0000220101,siege
0101100122,outdo
010110012200100,tiger
0010000210,banal
000001000121200,slump
2220010000,crank
010020021102222,gorge
010010000201020,query
0200001001,drink
011000110012200,favor
0010100020,abbey
0011022001,tangy
1010001000,panic
0110012100,humph
011001210000000,solar
0100220100,shire
0200000110,blush
020000011000000,proxy
0001002202,point
0101000102,robot
12000,prick
10002,dinos
1000202200,wince
22000,psion
2200010200,crimp
0000010210,blown
000001021001201,knoll
0110000100,sugar
1020000001,whack
000100200222202,mount
010010000202010,perky
2000011000,could
0200010001,wrung
0001010102,flown
000101010201000,light
0001212000,those
0001002222,major
000100222220010,moist
0120012001,shard
00111,smelt
0011100212,pleat
0011011010,fling
001101101012000,aloft
0000011001,whelp
000001100100020,skill
0100100010,bevel
010010001001021,elder
0220200002,frame
0100002120,humor
0010202001,pause
1100100220,ulcer
0111001201,ultra
010000011020111,robin
200000002120222,cynic
0210001110,aroma
20100,nobly
2010000020,caulk
0020200011,shake
000020000102020,dodge
000001100110020,swill
1011002000,tacit
010110012220100,other
0101002201,thorn
02012,trope
0201222202,trove
000020200000000,bloke
0000002000,fudgy
000000200000100,vivid
000001100100021,spill
2021020202,chant
20002,honds
2000211000,choke
0100201100,rupee
0012010012,nasty
0100001110,mourn
0010100200,ahead
0200200100,brine
20020,cloth
0120011100,hoard
0001120222,sweet
0002012000,month
0010202011,lapse
1011012000,biome
101101200000000,watch
0011021010,model
001102101002200,today
1000001002,focus
0001121202,smelt
00212,gleek
0021200110,tease
21111,cater
00122,whups
0012200201,saute
0100100000,unwed
010010000001120,renew
0101101102,their
0000010201,slosh
0100201201,purge
2001100010,chest
0001100102,debit
000110010222002,depot
0000100010,debug
000010001001000,epoxy
0000000010,nymph
000000012000000,blush
00000001200000000200,found
00200,slink
0020021000,shall
0001220000,naval
000122000000100,stove
0000020100,lowly
000100101221010,snout
010010000000220,fewer
002002100022202,shawl
0011012001,floss
001101200101000,natal
2010002000,comma
0110002202,foray
11202,scare
0121020100,stair
1020002000,black
0010020000,squad
0110012101,royal
2000010001,chunk
100020220002222,mince
0020200010,dumpy
002020001000100,shame
20001,liken
2000100120,cheek
0010211020,ample
0120000010,flair
0100102001,foyer
21100,cargo
0000200200,oxide
0021002020,plant
0000202200,olive
0101101101,inert
0010110020,askew
0001110102,heist
0000000211,shown
00021,plesh
0002100110,zesty
0221000000,trash
0110020200,larva
0100000210,whelp
010000021000000,forgo
0101020201,karma
010102020100100,story
0110000102,hairy
0221000110,train
010010200011110,homer
0010202000,gauze
001020200012002,badge
0001000122,midst
2010010002,canny
0000220220,humph
000022022010000,shine
100010010010110,gecko
11102,farce
0000010021,slung
0001000121,tipsy
0011101111,metal
0000102110,dwarf
000010211010000,yield
0000201000,model
000020100000111,delve
0000101011,eking
000010101110222,being
11000,locum
1100001120,scour
0020012000,glass
0110102010,gamer
11100,scram
1110022220,scrap
000010002100010,money
0000200111,hinge
0010000010,fluid
001000001002100,album
1000001000,vouch
0011110102,asset
0121000100,tiara
22011,crept
0010001001,bayou
001101101001000,atoll
011000110012001,manor
22101,creak
0000000201,spook
000000020120200,showy
002020002000222,phase
02020,froth
0002110102,depth
0000010200,album
000001020002002,gloom
000001020002000,flood
0221000100,trait
0102002000,girth
0002120200,piety
0000210001,goose
001101101022000,float
0100020120,donor
00112,bathe
0011201102,atone
0200001110,primo
0110001200,apron
2010001000,cacao
0100112010,loser
000100010201002,input
001101101002001,gloat
001000001011100,awful
020000100102222,brink
00022,muils
0002210201,smite
00201,humid
0020100001,beady
0102000002,rusty
0101102201,retro
0200000010,droll
001000000200012,gawky
100100012200000,hutch
0002011100,pinto
0101101121,egret
1010022000,lilac
010012000000120,sever
000010211010001,field
000001000000010,fluff
0020210000,agape
1000201010,voice
0011120201,stead
01021,berth
001000000022002,madam
000101010200001,night
0020002020,bland
0100100110,liver
000020000100020,wedge
010000011020001,roomy
1010000000,fancy
101000000002012,wacky
1000000100,flock
011000010201022,angry
0202202222,trite
001000000001020,aphid
0201020001,tryst
0000200101,midge
01001020001010022022,power
000020200000020,elope
2000000011,cinch
0002002000,motto
000100101100210,stomp
0001110022,upset
000001000020010,bluff
2220011000,cramp
0121000000,quart
2000001000,coyly
0002002001,youth
0100200100,where
010020010002012,rhyme
000000000002002,buggy
0010101021,alien
0110101011,smear
000100010200022,unfit
0012001002,patty
2000002011,cling
0010101201,glean
001010002210000,label
000000001011001,hunky
0020000101,khaki
0200100021,gruel
10012,twice
0021000020,twang
010000120122220,shrug
0211102222,treat
0012220001,waste
0101122101,merit
000010002200000,woven
0000100011,devon
000010001112001,needy
2000002002,clown
0200001011,irony
010010000010021,ruder
2000101020,chief
000111002200222,onset
0200220000,prize
000000101011010,fungi
21200,charm
000001000000022,gully
0101100222,outer
010110022200222,inter
000000020001100,whoop
0011022201,taunt
0100100012,leery
2020000202,class
0001202000,theme
0002002002,rebut
000200200200001,lofty
0011021000,tibia
0000200000,rebut
000020000001100,booze
001000001002000,alpha
0001202001,thyme
000100200202202,doubt
011012200002200,parer
20022,chute
1001000020,stick
12012,trice
0010201210,alike
11101,recap
001101200100010,saint
010000011010001,glory
02222,grate
001101100001110,admit
0200001000,frisk
020000100002222,brisk
0000000101,bosom
000000010102100,soggy
0100001101,usurp
1020001010,scald
1100001100,scorn
0020201000,leave
0001200200,twine
000100021100211,sting
0000000100,budge
000000010021020,bough
011000020002210,marsh
0002001010,sloth
0010000202,defog
001000020220000,dandy
0100000120,rhino
010000012010101,vigor
000000010000100,howdy
000010001101021,enjoy
001000001001022,valid
100000002001022,ionic
0010100102,medal
001010010201022,equal
010000012010001,floor
20110,catch
002020001010010,spade
0001120201,stein
000111010201222,exist
0100002100,quirk
000010101110110,denim
0200201000,feign
020020100001010,grove
0000121120,spiel
000000000002202,mummy
0011012200,fault
000000010000020,foggy
0001001002,flout
2110022200,carry
0010112200,sneak
0000102120,libel
0012000000,waltz
001101100000211,aptly
0000102021,piney
0001100202,inept
001000101022010,aloud
0002001000,photo
0210102221,dream
0021201100,stale
0002201200,unite
0120000011,snarl
0110102000,gawky
011010200002010,baker
0101201022,there
000001000000011,glyph
1000020000,pooch
000000200000002,hippy
0000120110,humph
000012011000010,spell
0000010100,fudgy
000001010020002,folly
0000211000,louse
1000002200,gulch
001101220002222,vault
000001010000212,godly
0101100121,threw
0001102222,fleet
0220200012,prove
022020001202022,grave
0020200100,inane
1000000001,shock
2220201100,crave
0002200201,spite
0010202010,valve
0000001001,humph
000000100100110,skimp
2020000200,claim
011000010202212,rainy
000200001220000,musty
000020010000012,pique
001000000200202,daddy
0020010100,quasi
0010000100,aging
0011100112,valet
0000001100,opium
01111,tweel
0111110200,avert
1001000220,stuck
1101122110,recut
100000220002222,mulch
0100200101,genre
000020200001110,plume
010020010000012,rifle
20010,count
1100000220,incur
001102101002002,total
0201112010,wrest
1010000101,mocha
0101102222,deter
0001000011,funky
000100001101002,study
0100102010,lover
0110102001,safer
010110012110120,rivet
0000000020,funny
0000220000,smoke
000000012000100,mound
0000200010,undue
0010101100,began
001010110002022,sedan
001000010011010,pagan
000022022000000,swine
0000201201,guile
000200001200000,gusty
0000101010,equip
0001012001,tough
20102,blush
2010200000,canoe
2020002202,chaos
2001102020,covet
001000010010010,human
010010000020021,udder
1000002100,lunch
0021012000,blast
0111021111,stray
0010000200,manga
000020100020021,melee
0002101100,lefty
1000002010,quick
0012200011,paste
0000102022,given
10011,elect
1001110012,octet
0100110100,renew
010011010020120,risen
0210001112,groan
0020100000,leaky
0200021001,grind
21102,carve
000021100022022,loose
0010020022,sadly
0001000212,stilt
000100021220222,spilt
0010201020,angle
001020102020022,apple
1020002010,slack
000010002101000,honey
001000021000222,final
0000120022,seven
000012002221022,sheen
0100200200,nerve
010020020002202,eerie
0002010102,minty
1000000111,slick
010010000212011,derby
0120002000,wharf
000112120220222,spelt
2020001200,coach
0201112210,erupt
0000220111,singe
12002,price
0020020010,spawn
011000010202222,fairy
000000200010002,jiffy
0000012000,humid
000001200000110,filmy
10210,stack
2000211001,chose
0000120120,sleep
0210001120,ardor
001000020200000,nanny
1000202100,niece
000000020002100,woozy
001000020210000,handy
12202,grace
0002001100,ditto
0021020022,stank
2210122220,cream
0010010010,usual
000020010001012,diode
0110011100,valor
001000020000202,ninja
000000000012102,muddy
20202,chase
0100100022,reply
0200221100,prone
0000011201,spoil
01211,heart
002020001010000,shade
010010010002221,diner
0210001122,arson
0000001110,onion
000010012000121,dowel
2000010000,couch
0010010012,palsy
000010012020021,bowel
0000221200,smile
000020000001000,evoke
22001,plied
2200100020,creek
